                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.62241,                0.43603,                0.91136,                0.55163,                0.52249,                0.58647,                0.38496,                 1.4351,                 2.3822,                 1.3539,               0.006733,               0.006733,               0.006733
                     68,                0.61811,                 0.4382,                0.89771,                0.45524,                0.45638,                0.52602,                 0.3521,                 1.6152,                 2.6774,                 1.4752,              0.0066835,              0.0066835,              0.0066835
                     69,                0.60498,                 0.4307,                0.90903,                0.66518,                0.58148,                0.63323,                0.42466,                  1.377,                 2.1444,                 1.3698,               0.006634,               0.006634,               0.006634
                     70,                0.62008,                0.43387,                0.91226,                0.59594,                0.49453,                 0.6191,                 0.4358,                 1.3407,                 2.4429,                 1.3093,              0.0065845,              0.0065845,              0.0065845
                     71,                0.60067,                0.42908,                0.90318,                0.71764,                0.52762,                0.58935,                0.42432,                 1.3743,                 2.2778,                 1.3607,               0.006535,               0.006535,               0.006535
                     72,                0.59865,                0.42207,                0.90066,                0.68741,                0.55156,                0.57801,                0.41109,                 1.2915,                  1.761,                 1.3254,              0.0064855,              0.0064855,              0.0064855
                     73,                0.59412,                0.42214,                0.89123,                0.69346,                0.68303,                0.69647,                0.48799,                 1.2363,                 1.5367,                 1.3055,               0.006436,               0.006436,               0.006436
                     74,                0.59067,                0.42462,                0.89415,                0.71187,                0.64189,                0.71494,                0.49782,                 1.2843,                 1.6618,                 1.3102,              0.0063865,              0.0063865,              0.0063865
                     75,                0.59672,                 0.4307,                0.89929,                0.71532,                0.50799,                0.54638,                0.38437,                 1.4068,                 2.4337,                 1.4098,               0.006337,               0.006337,               0.006337
                     76,                 0.5944,                0.42275,                0.90382,                0.41631,                0.41454,                0.43636,                0.31994,                 1.3438,                 3.0245,                 1.3301,              0.0062875,              0.0062875,              0.0062875
                     77,                0.59079,                0.41747,                0.89788,                 0.6762,                0.51942,                0.58224,                0.38812,                 1.4207,                 2.3718,                  1.366,               0.006238,               0.006238,               0.006238
                     78,                0.57073,                0.41292,                0.89876,                0.64507,                0.53592,                  0.577,                0.39571,                 1.3505,                 2.1371,                 1.3616,              0.0061885,              0.0061885,              0.0061885
                     79,                0.58463,                0.40807,                0.90404,                0.48728,                0.54506,                0.53384,                0.35432,                 1.5021,                 2.4468,                 1.4819,               0.006139,               0.006139,               0.006139
                     80,                0.59133,                0.42026,                0.89896,                0.46399,                0.41299,                 0.4972,                0.34216,                 1.4373,                 2.8675,                 1.4022,              0.0060895,              0.0060895,              0.0060895
                     81,                0.58705,                0.41329,                0.89816,                0.93929,                0.46389,                0.52959,                0.36815,                 1.4265,                 2.7499,                 1.3975,                0.00604,                0.00604,                0.00604
                     82,                0.58758,                0.42048,                0.90002,                0.44308,                0.45513,                0.54445,                0.35602,                 1.5402,                 2.6098,                 1.4573,              0.0059905,              0.0059905,              0.0059905
                     83,                0.57125,                0.41083,                0.89854,                0.71971,                  0.546,                0.60148,                0.39736,                  1.397,                  1.916,                 1.3785,               0.005941,               0.005941,               0.005941
                     84,                0.58222,                0.41086,                0.90061,                0.59854,                0.55703,                 0.5879,                0.39598,                 1.3734,                 2.2676,                 1.3469,              0.0058915,              0.0058915,              0.0058915
                     85,                0.57345,                0.40323,                 0.8957,                0.56752,                0.45239,                0.54392,                0.38438,                 1.4141,                 2.7013,                 1.3876,               0.005842,               0.005842,               0.005842
                     86,                0.56668,                0.40121,                0.89664,                0.67729,                0.58459,                0.63951,                0.44491,                 1.2621,                 1.9309,                 1.3045,              0.0057925,              0.0057925,              0.0057925
                     87,                0.54419,                 0.3874,                0.88506,                0.69824,                0.44808,                0.55576,                0.37562,                 1.3927,                 2.5525,                 1.3268,               0.005743,               0.005743,               0.005743
                     88,                0.56813,                0.40588,                 0.8905,                0.95262,                0.41026,                0.55338,                0.36614,                 1.3764,                 2.6496,                 1.3392,              0.0056935,              0.0056935,              0.0056935
                     89,                0.55432,                0.39273,                0.88662,                 0.6228,                0.54318,                0.58928,                 0.4146,                 1.4155,                 2.1534,                 1.3785,               0.005644,               0.005644,               0.005644
                     90,                0.56535,                 0.3946,                0.89062,                0.56121,                0.55618,                0.58679,                0.37435,                  1.474,                 2.0383,                 1.4164,              0.0055945,              0.0055945,              0.0055945
                     91,                0.55778,                0.39458,                0.88473,                0.73992,                0.53874,                 0.6314,                0.43322,                 1.4209,                 2.0341,                 1.3743,               0.005545,               0.005545,               0.005545
                     92,                0.57125,                0.39764,                 0.8955,                0.68382,                0.48822,                0.60841,                0.43693,                 1.3508,                 2.2611,                 1.3705,              0.0054955,              0.0054955,              0.0054955
                     93,                0.56093,                0.39839,                0.88608,                0.61604,                0.55984,                0.63733,                 0.4423,                 1.3275,                 1.9169,                 1.3335,               0.005446,               0.005446,               0.005446
                     94,                0.55336,                 0.3854,                0.88792,                0.79713,                0.52027,                  0.606,                0.41577,                 1.3155,                 2.1679,                 1.3381,              0.0053965,              0.0053965,              0.0053965
                     95,                0.54168,                0.38495,                0.88526,                0.46422,                0.42308,                0.55754,                0.39488,                 1.3831,                 2.8205,                 1.3238,               0.005347,               0.005347,               0.005347
                     96,                0.55632,                0.38967,                0.88857,                0.71711,                0.53652,                0.61412,                0.41357,                 1.4139,                 2.1395,                 1.3944,              0.0052975,              0.0052975,              0.0052975
                     97,                0.56345,                0.39381,                0.88573,                0.59638,                0.57551,                 0.6169,                0.40707,                 1.3166,                 2.1462,                 1.3469,               0.005248,               0.005248,               0.005248
                     98,                0.55267,                0.37894,                0.88789,                0.80296,                0.47351,                0.56156,                0.39342,                 1.3551,                 2.4711,                 1.3052,              0.0051985,              0.0051985,              0.0051985
                     99,                0.54183,                0.37622,                0.88132,                0.53665,                0.53253,                0.55938,                0.42183,                 1.2532,                 2.2704,                   1.27,               0.005149,               0.005149,               0.005149
                    100,                0.53785,                0.37823,                0.88117,                0.58414,                0.47624,                0.54158,                0.38896,                 1.3925,                 2.6729,                 1.3733,              0.0050995,              0.0050995,              0.0050995
                    101,                0.55627,                0.38721,                0.89158,                0.42333,                0.45513,                0.48246,                0.34146,                 1.4911,                 3.2228,                 1.4485,                0.00505,                0.00505,                0.00505
                    102,                0.53922,                 0.3848,                0.88124,                0.93795,                0.45513,                 0.4834,                0.34106,                 1.5334,                 3.1697,                 1.4912,              0.0050005,              0.0050005,              0.0050005
                    103,                0.53794,                 0.3861,                0.88749,                0.91945,                0.43394,                0.43351,                 0.2994,                 1.5092,                 3.2154,                 1.4811,               0.004951,               0.004951,               0.004951
                    104,                0.55722,                0.38816,                0.89337,                0.93791,                0.45212,                0.50601,                0.36557,                  1.338,                 2.8615,                 1.3687,              0.0049015,              0.0049015,              0.0049015
                    105,                 0.5459,                0.38197,                0.88002,                0.46447,                0.46154,                0.53061,                0.37792,                 1.4555,                 2.9092,                 1.4388,               0.004852,               0.004852,               0.004852
                    106,                 0.5442,                0.38715,                0.89153,                 0.4512,                 0.4742,                 0.5285,                0.36502,                 1.4652,                 2.6765,                 1.3761,              0.0048025,              0.0048025,              0.0048025
                    107,                0.53124,                0.38161,                0.87424,                0.93182,                0.47436,                0.55141,                0.38769,                 1.4064,                 2.8042,                 1.3957,               0.004753,               0.004753,               0.004753
                    108,                0.52351,                0.37174,                0.88146,                 0.7644,                0.47284,                0.59812,                0.43509,                 1.3568,                 2.4458,                 1.3668,              0.0047035,              0.0047035,              0.0047035
                    109,                 0.5271,                0.37116,                0.88091,                0.94329,                0.42308,                0.49384,                 0.3481,                 1.5781,                 2.9646,                 1.5103,               0.004654,               0.004654,               0.004654
                    110,                0.53751,                 0.3697,                0.88889,                0.93262,                0.42949,                0.50496,                0.34632,                 1.5513,                  3.001,                 1.4608,              0.0046045,              0.0046045,              0.0046045
                    111,                0.53542,                0.36965,                0.89148,                0.72023,                0.46248,                0.57833,                0.41751,                  1.308,                 2.4397,                 1.3271,               0.004555,               0.004555,               0.004555
                    112,                0.53035,                0.36447,                0.88581,                0.50723,                0.51753,                0.55619,                 0.3777,                 1.4066,                 2.4279,                 1.3859,              0.0045055,              0.0045055,              0.0045055
                    113,                0.51388,                0.35815,                0.87912,                0.58498,                0.52583,                 0.5457,                 0.3742,                 1.3905,                 2.2508,                 1.3776,               0.004456,               0.004456,               0.004456
                    114,                0.53152,                0.36551,                0.88103,                0.66322,                0.54393,                0.58254,                0.39132,                 1.3683,                 2.4407,                 1.4008,              0.0044065,              0.0044065,              0.0044065
                    115,                 0.4974,                0.34571,                0.87009,                0.70168,                0.51753,                0.59255,                0.41122,                 1.3832,                 2.5333,                 1.3908,               0.004357,               0.004357,               0.004357
                    116,                0.52047,                0.35139,                0.88447,                0.65703,                0.50745,                 0.5569,                0.38805,                 1.2761,                 2.5793,                 1.3017,              0.0043075,              0.0043075,              0.0043075
                    117,                0.52253,                0.36618,                0.87664,                 0.7869,                0.54836,                0.60095,                0.41796,                 1.3205,                  2.546,                 1.3402,               0.004258,               0.004258,               0.004258
                    118,                0.51425,                0.35747,                0.87571,                0.67297,                0.55147,                0.57987,                0.40841,                 1.3127,                 2.3768,                 1.3486,              0.0042085,              0.0042085,              0.0042085
                    119,                0.52695,                0.37033,                0.88565,                0.70252,                0.49464,                0.54598,                0.37425,                 1.4715,                 2.7365,                 1.4854,               0.004159,               0.004159,               0.004159
                    120,                0.51535,                0.36396,                0.87603,                0.81278,                0.53224,                0.63781,                0.44671,                 1.2921,                 2.2302,                 1.3433,              0.0041095,              0.0041095,              0.0041095
                    121,                0.50943,                0.35542,                0.88216,                0.70609,                0.57399,                0.65339,                0.46125,                 1.2296,                 2.0244,                 1.2966,                0.00406,                0.00406,                0.00406
                    122,                0.50509,                0.35453,                0.87692,                0.82348,                0.55977,                0.69171,                0.50631,                 1.2344,                 2.1974,                 1.2541,              0.0040105,              0.0040105,              0.0040105
                    123,                0.50169,                0.34872,                0.86896,                0.66861,                0.50895,                 0.5943,                0.42475,                 1.4007,                 2.4379,                 1.3301,               0.003961,               0.003961,               0.003961
                    124,                 0.5001,                0.34619,                 0.8695,                0.63222,                0.56344,                0.63867,                0.45064,                  1.245,                 2.0726,                 1.2522,              0.0039115,              0.0039115,              0.0039115
                    125,                0.50955,                0.34596,                0.87886,                0.65181,                0.58018,                0.65451,                0.44573,                  1.296,                 1.9342,                 1.3198,               0.003862,               0.003862,               0.003862
                    126,                 0.4932,                0.34833,                0.87194,                0.71897,                0.56344,                0.64437,                0.45614,                 1.2568,                 2.0258,                 1.2811,              0.0038125,              0.0038125,              0.0038125
                    127,                 0.4918,                0.34159,                0.86601,                0.72902,                0.56071,                0.63069,                  0.463,                  1.299,                 1.9374,                 1.3103,               0.003763,               0.003763,               0.003763
                    128,                0.49658,                0.34271,                0.87474,                0.71342,                0.57025,                0.64065,                0.46198,                  1.283,                 1.8511,                 1.2858,              0.0037135,              0.0037135,              0.0037135
                    129,                0.49777,                0.34416,                0.86997,                 0.7689,                0.54233,                0.63397,                0.45702,                  1.213,                 2.1426,                 1.2701,               0.003664,               0.003664,               0.003664
                    130,                0.49242,                0.34415,                0.86321,                0.79602,                0.51366,                0.58445,                0.41662,                  1.242,                 2.3227,                 1.2692,              0.0036145,              0.0036145,              0.0036145
                    131,                0.48877,                0.33862,                0.86814,                0.70993,                0.56165,                0.63134,                 0.4338,                 1.2796,                  2.089,                 1.3041,               0.003565,               0.003565,               0.003565
                    132,                 0.4946,                0.34418,                0.87003,                0.58662,                0.49001,                0.53533,                0.38114,                 1.3191,                 2.5584,                 1.3419,              0.0035155,              0.0035155,              0.0035155
                    133,                0.49931,                0.34434,                0.87208,                0.60414,                0.46616,                0.55391,                 0.3933,                 1.3146,                 2.7529,                 1.3265,               0.003466,               0.003466,               0.003466
                    134,                0.48028,                0.33463,                0.87075,                0.97285,                 0.4466,                0.53867,                0.36579,                 1.3892,                 2.7455,                 1.3545,              0.0034165,              0.0034165,              0.0034165
                    135,                0.48133,                 0.3336,                0.86041,                0.94633,                0.47982,                 0.5736,                0.40592,                 1.3146,                 2.5734,                 1.2914,               0.003367,               0.003367,               0.003367
                    136,                0.48361,                0.33762,                0.86128,                0.67789,                0.52881,                0.62164,                0.44378,                 1.2533,                 2.3396,                 1.2715,              0.0033175,              0.0033175,              0.0033175
                    137,                0.47981,                0.33767,                0.86701,                0.64327,                0.52856,                0.61414,                0.42767,                 1.2582,                   2.46,                 1.2824,               0.003268,               0.003268,               0.003268
                    138,                0.48281,                0.33068,                0.86895,                0.75242,                0.53497,                 0.6179,                0.41693,                 1.2912,                 2.3785,                 1.3026,              0.0032185,              0.0032185,              0.0032185
                    139,                0.47612,                0.33648,                0.86779,                0.73384,                0.53676,                 0.6224,                0.42818,                 1.2908,                 2.4208,                  1.294,               0.003169,               0.003169,               0.003169
                    140,                0.46937,                0.32647,                0.86095,                0.74985,                0.55678,                0.65217,                0.46367,                 1.2508,                 2.2592,                 1.2721,              0.0031195,              0.0031195,              0.0031195
                    141,                0.47336,                0.32792,                0.85808,                0.78482,                0.56236,                0.69571,                0.49696,                 1.1984,                 2.0568,                 1.2665,                0.00307,                0.00307,                0.00307
                    142,                0.48311,                0.33281,                0.86869,                0.81971,                0.59531,                0.68951,                0.52143,                 1.1831,                 1.9498,                 1.2549,              0.0030205,              0.0030205,              0.0030205
                    143,                0.47326,                0.32442,                0.87401,                0.83343,                0.58465,                0.68678,                  0.499,                    1.2,                 1.8954,                  1.266,               0.002971,               0.002971,               0.002971
                    144,                0.47905,                0.33313,                0.87575,                0.75921,                0.60388,                0.67788,                0.49604,                 1.2028,                 1.7716,                 1.2724,              0.0029215,              0.0029215,              0.0029215
                    145,                0.47647,                0.32397,                  0.861,                0.76324,                0.59153,                 0.6833,                0.49112,                 1.2125,                 1.9973,                 1.2644,               0.002872,               0.002872,               0.002872
                    146,                0.46556,                0.32767,                0.86693,                0.69925,                0.53329,                0.63954,                0.46571,                 1.2477,                  2.257,                 1.2762,              0.0028225,              0.0028225,              0.0028225
                    147,                0.47336,                0.32741,                0.86967,                0.67077,                0.52437,                0.61781,                0.45577,                 1.2323,                 2.2627,                 1.2969,               0.002773,               0.002773,               0.002773
