                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0028,                0.72241,                 1.2421,                0.38252,                0.42308,                0.38087,                0.18706,                 2.3518,                 3.6702,                 2.6784,               0.007624,               0.007624,               0.007624
                     50,                 1.0019,                0.69308,                 1.2355,                0.44397,                0.44872,                0.45766,                0.22496,                 2.3234,                 4.0426,                 2.6566,              0.0075745,              0.0075745,              0.0075745
                     51,                0.96474,                0.68441,                 1.2001,                 0.2733,                0.38642,                0.35006,                0.15872,                  2.613,                 4.2146,                 2.8778,               0.007525,               0.007525,               0.007525
                     52,                 0.9645,                0.68665,                 1.2106,                0.31281,                0.36423,                0.32423,                0.14443,                 2.4298,                 4.1997,                  2.798,              0.0074755,              0.0074755,              0.0074755
                     53,                0.97707,                0.70754,                 1.2344,                0.38393,                0.40385,                0.38964,                0.18746,                 2.4753,                 3.7752,                 2.7793,               0.007426,               0.007426,               0.007426
                     54,                0.96377,                0.68506,                 1.2173,                0.61012,                0.35689,                0.36876,                0.17527,                  2.393,                 3.9226,                 2.8064,              0.0073765,              0.0073765,              0.0073765
                     55,                0.96369,                0.67712,                 1.2017,                0.40075,                0.38825,                0.41481,                0.21111,                 2.4424,                 4.1022,                 2.8585,               0.007327,               0.007327,               0.007327
                     56,                0.95199,                0.66281,                  1.203,                0.33392,                0.32051,                0.34099,                0.17178,                 2.4533,                 4.2676,                 2.8629,              0.0072775,              0.0072775,              0.0072775
                     57,                0.96174,                0.66572,                 1.2158,                0.41173,                0.41862,                0.43602,                0.22143,                 2.2826,                 3.8733,                 2.6801,               0.007228,               0.007228,               0.007228
                     58,                0.93959,                0.66376,                  1.196,                0.37876,                0.40053,                0.41002,                 0.2045,                 2.2271,                 3.5371,                 2.4675,              0.0071785,              0.0071785,              0.0071785
                     59,                0.96152,                0.67848,                 1.1948,                 0.3825,                0.37564,                0.39525,                0.20304,                 2.2985,                 3.9857,                 2.6128,               0.007129,               0.007129,               0.007129
                     60,                0.93886,                0.64064,                  1.177,                0.40063,                0.41352,                0.43499,                0.19102,                  2.424,                 3.9547,                 2.7334,              0.0070795,              0.0070795,              0.0070795
                     61,                0.91779,                0.63933,                 1.1749,                0.33845,                0.30128,                 0.3394,                0.12134,                 2.4715,                 4.3898,                 2.9162,                0.00703,                0.00703,                0.00703
                     62,                0.95249,                0.65304,                 1.1832,                0.37931,                0.40385,                0.43013,                0.18643,                 2.3946,                 4.0377,                  2.683,              0.0069805,              0.0069805,              0.0069805
                     63,                0.91067,                0.63888,                  1.177,                 0.3175,                0.37919,                0.36491,                0.15519,                 2.5322,                 4.3045,                 2.8367,               0.006931,               0.006931,               0.006931
                     64,                 0.9088,                0.63386,                 1.1587,                0.38321,                0.44172,                0.43709,                0.18458,                 2.5574,                   4.02,                 2.6881,              0.0068815,              0.0068815,              0.0068815
                     65,                0.91228,                0.62805,                 1.1506,                0.31662,                0.36523,                0.33885,                0.15432,                 2.3782,                 4.0931,                 2.7838,               0.006832,               0.006832,               0.006832
                     66,                0.89042,                0.62874,                 1.1672,                0.35067,                0.33974,                0.37348,                0.19334,                 2.3584,                 3.9638,                 2.7003,              0.0067825,              0.0067825,              0.0067825
                     67,                0.89227,                0.61531,                 1.1531,                  0.377,                0.38141,                0.34484,                0.14812,                 2.2521,                 4.0291,                 2.7006,               0.006733,               0.006733,               0.006733
                     68,                0.90712,                0.62285,                 1.1626,                0.42502,                0.45155,                0.41298,                 0.1926,                 2.1315,                 3.7769,                 2.4886,              0.0066835,              0.0066835,              0.0066835
                     69,                 0.8966,                0.60948,                 1.1573,                0.37184,                0.34615,                0.37484,                0.17878,                  2.428,                  4.347,                 2.7086,               0.006634,               0.006634,               0.006634
                     70,                0.89881,                0.60461,                  1.165,                0.39584,                 0.3167,                0.38138,                 0.1942,                  2.243,                 3.8472,                 2.5983,              0.0065845,              0.0065845,              0.0065845
                     71,                0.89725,                0.61512,                 1.1618,                0.34982,                0.33974,                  0.356,                0.15079,                 2.3939,                 4.0961,                 2.6634,               0.006535,               0.006535,               0.006535
                     72,                0.86392,                0.59372,                  1.156,                0.35258,                0.36797,                0.38295,                0.16881,                 2.3754,                 3.9206,                 2.6079,              0.0064855,              0.0064855,              0.0064855
                     73,                0.86668,                0.60094,                 1.1401,                0.36547,                0.37821,                0.41129,                 0.1875,                 2.3981,                 3.9574,                 2.7897,               0.006436,               0.006436,               0.006436
                     74,                0.85824,                0.59563,                  1.132,                0.47189,                0.43043,                0.44727,                0.18561,                 2.5246,                  3.574,                 2.7931,              0.0063865,              0.0063865,              0.0063865
                     75,                0.86903,                0.61717,                 1.1428,                0.34065,                   0.37,                0.35559,                0.14826,                 2.5144,                 4.1705,                 2.8051,               0.006337,               0.006337,               0.006337
                     76,                 0.8698,                0.60155,                  1.136,                0.62142,                0.40388,                0.39924,                0.16791,                 2.3775,                 3.9013,                 2.6796,              0.0062875,              0.0062875,              0.0062875
                     77,                0.87272,                0.59134,                 1.1238,                0.36357,                0.31505,                0.31606,                0.14383,                 2.5485,                 4.1756,                  2.933,               0.006238,               0.006238,               0.006238
                     78,                0.84186,                0.58353,                 1.1376,                 0.4204,                0.40628,                0.44407,                 0.2225,                 2.4203,                  3.774,                  2.648,              0.0061885,              0.0061885,              0.0061885
                     79,                0.84148,                0.57383,                 1.1224,                0.41502,                0.38188,                0.39994,                0.19491,                 2.2923,                 3.8131,                 2.7391,               0.006139,               0.006139,               0.006139
                     80,                 0.8609,                0.58598,                 1.1378,                 0.4038,                0.41026,                 0.4299,                0.19767,                 2.4805,                 4.1011,                 2.8033,              0.0060895,              0.0060895,              0.0060895
                     81,                0.85538,                0.58121,                 1.1187,                 0.8867,                0.41573,                0.42969,                0.21848,                 2.2939,                 3.7029,                   2.64,                0.00604,                0.00604,                0.00604
                     82,                0.84726,                0.58989,                 1.1303,                0.86671,                0.37821,                0.37719,                0.16929,                 2.3532,                 3.8036,                 2.7309,              0.0059905,              0.0059905,              0.0059905
                     83,                 0.8224,                0.57028,                 1.1216,                0.30031,                0.34285,                0.28798,                0.10598,                 2.4774,                 4.1532,                 2.7614,               0.005941,               0.005941,               0.005941
                     84,                0.84392,                0.57111,                 1.1166,                0.42829,                0.32051,                0.38623,                0.16332,                 2.4813,                 3.8919,                 2.7963,              0.0058915,              0.0058915,              0.0058915
                     85,                0.84288,                0.58596,                 1.1262,                0.31906,                0.33912,                0.35112,                0.14458,                 2.3431,                   4.17,                 2.7137,               0.005842,               0.005842,               0.005842
                     86,                0.82907,                0.57394,                 1.1193,                0.65244,                0.37915,                0.42712,                0.19081,                 2.3284,                 4.0058,                 2.5551,              0.0057925,              0.0057925,              0.0057925
                     87,                0.80499,                0.55408,                 1.1113,                0.31596,                0.37179,                0.32922,                 0.1329,                 2.3479,                 4.0691,                 2.7503,               0.005743,               0.005743,               0.005743
                     88,                0.80406,                0.55736,                 1.0976,                0.40617,                0.42308,                0.44882,                0.23471,                 2.2576,                  3.679,                 2.6508,              0.0056935,              0.0056935,              0.0056935
                     89,                0.79358,                0.53891,                 1.0964,                0.34449,                0.29822,                0.33715,                0.16116,                 2.4753,                 4.0382,                 2.8286,               0.005644,               0.005644,               0.005644
                     90,                0.80098,                0.53688,                 1.0962,                0.35903,                0.39744,                0.41425,                0.20199,                 2.3771,                 3.9985,                 2.6603,              0.0055945,              0.0055945,              0.0055945
                     91,                0.79646,                0.54529,                 1.0876,                0.34338,                0.29487,                0.30462,                0.13303,                 2.4715,                 4.4191,                 2.7537,               0.005545,               0.005545,               0.005545
                     92,                0.81663,                0.55935,                 1.1097,                 0.3623,                0.38792,                0.39414,                0.18786,                 2.2967,                 4.0871,                 2.6445,              0.0054955,              0.0054955,              0.0054955
                     93,                0.81693,                0.55598,                 1.1045,                0.32872,                0.35678,                0.35333,                0.16301,                 2.4741,                 4.2343,                 2.6791,               0.005446,               0.005446,               0.005446
                     94,                0.79467,                0.54168,                 1.0985,                0.32364,                0.35256,                0.36732,                0.17564,                 2.3273,                 4.2114,                 2.5956,              0.0053965,              0.0053965,              0.0053965
                     95,                0.77108,                 0.5388,                  1.081,                0.37509,                0.44275,                0.42408,                0.19954,                 2.4439,                 3.8392,                  2.679,               0.005347,               0.005347,               0.005347
                     96,                0.80341,                0.54494,                 1.1033,                 0.3302,                0.39103,                0.38929,                 0.2069,                 2.3538,                 3.8533,                 2.8022,              0.0052975,              0.0052975,              0.0052975
                     97,                0.79449,                0.53733,                 1.0885,                0.35748,                0.41667,                0.41855,                0.20685,                 2.4983,                 3.8121,                 2.7802,               0.005248,               0.005248,               0.005248
                     98,                 0.7844,                0.53948,                 1.0898,                0.86205,                0.37179,                0.38623,                0.18849,                 2.3624,                  4.201,                 2.6488,              0.0051985,              0.0051985,              0.0051985
                     99,                0.76315,                0.52252,                 1.0884,                0.37332,                0.29487,                0.36151,                0.18213,                  2.589,                 4.2634,                 2.7872,               0.005149,               0.005149,               0.005149
                    100,                0.78182,                0.52737,                 1.0829,                0.43354,                0.36538,                0.42781,                0.23154,                 2.4494,                 4.1811,                 2.6114,              0.0050995,              0.0050995,              0.0050995
                    101,                0.78552,                0.53578,                 1.0936,                0.43603,                0.44231,                0.45666,                0.23732,                 2.3956,                 4.1412,                  2.623,                0.00505,                0.00505,                0.00505
                    102,                0.78684,                 0.5316,                 1.0902,                0.34557,                0.29487,                0.31115,                0.14798,                 2.4217,                 4.3509,                 2.7437,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.7704,                0.52478,                 1.0845,                0.38794,                0.35897,                0.41466,                0.21535,                 2.4012,                 4.0743,                 2.7396,               0.004951,               0.004951,               0.004951
                    104,                0.78819,                0.53825,                 1.0901,                 0.9177,                 0.3904,                0.43522,                0.23512,                 2.4177,                 3.9852,                 2.7452,              0.0049015,              0.0049015,              0.0049015
                    105,                0.78826,                0.52341,                 1.0827,                0.42416,                0.39437,                0.42916,                0.21581,                 2.4408,                 3.9901,                 2.8159,               0.004852,               0.004852,               0.004852
                    106,                0.78276,                0.53355,                 1.0959,                0.85258,                0.33974,                0.35433,                0.17197,                 2.4045,                 4.2085,                 2.8719,              0.0048025,              0.0048025,              0.0048025
                    107,                0.76391,                0.52794,                  1.073,                0.38757,                0.44196,                0.44174,                 0.2268,                  2.416,                 4.0665,                 2.7762,               0.004753,               0.004753,               0.004753
                    108,                0.75372,                0.51671,                 1.0701,                0.91014,                0.33974,                0.40739,                0.21882,                 2.5158,                 4.0746,                 2.7835,              0.0047035,              0.0047035,              0.0047035
                    109,                0.75205,                0.50554,                 1.0786,                0.36692,                0.33333,                 0.3584,                0.16904,                 2.4154,                 4.1233,                 2.8627,               0.004654,               0.004654,               0.004654
                    110,                0.76842,                0.52288,                 1.0751,                0.88344,                0.32692,                0.36381,                0.18475,                 2.3092,                 4.1695,                 2.6993,              0.0046045,              0.0046045,              0.0046045
                    111,                0.75245,                0.51992,                 1.0758,                0.31951,                0.35897,                0.37154,                0.18405,                 2.2705,                 4.3098,                 2.5216,               0.004555,               0.004555,               0.004555
                    112,                0.75156,                0.50661,                 1.0699,                0.34698,                0.39248,                0.39678,                0.19211,                 2.5069,                 4.3213,                 2.7314,              0.0045055,              0.0045055,              0.0045055
                    113,                0.74853,                0.50489,                 1.0622,                0.87134,                0.37004,                0.39244,                0.19995,                 2.3465,                 4.1558,                 2.6728,               0.004456,               0.004456,               0.004456
                    114,                0.75508,                0.51344,                 1.0731,                0.36789,                0.42308,                0.42074,                0.21955,                 2.4287,                  3.996,                  2.703,              0.0044065,              0.0044065,              0.0044065
                    115,                0.70965,                0.48595,                 1.0433,                0.35657,                0.37821,                0.38552,                 0.1993,                 2.2959,                 4.0144,                 2.7431,               0.004357,               0.004357,               0.004357
                    116,                0.75042,                 0.4908,                 1.0661,                0.85616,                0.39103,                0.38313,                0.20194,                  2.359,                 4.0453,                 2.7303,              0.0043075,              0.0043075,              0.0043075
