                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                  1.076,                0.70733,                 1.0637,                0.97529,                0.95103,                0.98354,                0.65945,                 1.1994,                0.67308,                 1.1951,               0.006832,               0.006832,               0.006832
                     66,                 1.0786,                0.71541,                 1.0778,                0.97584,                  0.936,                0.98067,                 0.6749,                 1.2026,                0.69723,                 1.1898,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.062,                0.71222,                  1.057,                0.97799,                0.94428,                 0.9871,                0.67944,                 1.1683,                0.68143,                 1.1626,               0.006733,               0.006733,               0.006733
                     68,                 1.0281,                0.70826,                 1.0596,                0.97079,                0.94098,                0.97365,                 0.6697,                 1.2043,                0.66675,                 1.1918,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0203,                0.69218,                 1.0495,                0.97485,                  0.956,                0.98013,                0.65668,                 1.3148,                0.67449,                 1.2385,               0.006634,               0.006634,               0.006634
                     70,                 1.0178,                0.68124,                 1.0518,                0.98219,                  0.956,                0.98306,                0.67908,                 1.1754,                0.63856,                 1.1893,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0355,                0.67898,                 1.0648,                 0.9734,                0.96618,                0.98225,                0.66152,                 1.2366,                0.66081,                 1.1775,               0.006535,               0.006535,               0.006535
                     72,                 1.0128,                0.67876,                 1.0396,                0.96731,                0.96975,                0.98422,                0.64777,                 1.2511,                0.66279,                 1.1833,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0275,                0.69536,                 1.0521,                0.97892,                  0.952,                0.97918,                0.66751,                 1.1958,                0.64782,                 1.1897,               0.006436,               0.006436,               0.006436
                     74,                 1.0014,                0.68189,                 1.0448,                0.97827,                   0.96,                0.98079,                0.68339,                 1.1571,                0.63647,                 1.1631,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0167,                0.68312,                 1.0431,                 0.9723,                0.96658,                0.97924,                0.67398,                 1.1963,                0.66861,                 1.1997,               0.006337,               0.006337,               0.006337
                     76,                 1.0507,                 0.6979,                 1.0671,                0.97144,                  0.956,                0.97934,                 0.6677,                 1.1576,                0.63713,                 1.1811,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0382,                0.68399,                 1.0611,                0.97024,                0.96225,                0.98309,                0.65721,                 1.2041,                0.62398,                 1.1937,               0.006238,               0.006238,               0.006238
                     78,                 1.0256,                0.66264,                 1.0504,                0.97338,                0.95894,                0.98744,                0.68212,                 1.1769,                0.62894,                 1.1686,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0093,                 0.6821,                 1.0583,                0.97082,                0.96545,                0.98302,                 0.6709,                 1.2108,                  0.615,                 1.1835,               0.006139,               0.006139,               0.006139
                     80,                 1.0151,                0.64515,                 1.0503,                0.97602,                0.95825,                 0.9773,                0.67579,                  1.195,                 0.6103,                 1.1708,              0.0060895,              0.0060895,              0.0060895
                     81,                0.98813,                0.64213,                 1.0442,                  0.984,                  0.944,                0.98196,                0.64947,                 1.3161,                 0.6435,                 1.2356,                0.00604,                0.00604,                0.00604
                     82,                0.96546,                0.64499,                 1.0275,                0.94094,                  0.972,                0.97779,                0.66395,                 1.2411,                0.65023,                 1.1942,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0152,                0.66673,                 1.0475,                0.96286,                 0.9614,                 0.9762,                0.66193,                 1.2027,                0.64163,                 1.1843,               0.005941,               0.005941,               0.005941
                     84,                 1.0055,                0.67175,                 1.0425,                0.97372,                   0.96,                0.98397,                0.66326,                 1.1843,                0.63043,                 1.1776,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0134,                0.64599,                 1.0607,                0.95006,                  0.964,                0.98449,                0.64357,                 1.2511,                0.63759,                 1.2295,               0.005842,               0.005842,               0.005842
                     86,                0.97281,                0.63516,                 1.0366,                0.95625,                   0.98,                0.98622,                0.63735,                 1.2749,                0.64173,                 1.2449,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.0162,                0.65812,                 1.0531,                0.97076,                   0.98,                0.98772,                0.65105,                 1.2818,                0.61889,                 1.2502,               0.005743,               0.005743,               0.005743
                     88,                0.98567,                0.65268,                 1.0413,                0.94635,                   0.98,                0.98362,                0.66863,                 1.2783,                0.61883,                 1.2219,              0.0056935,              0.0056935,              0.0056935
                     89,                0.97247,                0.63508,                 1.0325,                0.96762,                0.95615,                0.98016,                0.68132,                 1.1978,                0.61162,                 1.1903,               0.005644,               0.005644,               0.005644
